# 
# registered features: 
# 
# FeatureMoleculesIO
# 	Number of monomers: 7840
# 	max connectivity: 4
# FeatureBox
# FeatureBondset<FastBondset>
# FeatureAttributes
# 
# not registered features: 
# 
# #!version
# endoffile
# 
# radius of gyration
# mcs	R_G Dendrimer 	R_G Chains

1e+06	7.29203	7.29203	
1.1e+06	7.32482	7.30843	
1.2e+06	7.29901	7.30529	
1.3e+06	7.33614	7.313	
1.4e+06	7.29954	7.31031	
1.5e+06	7.32719	7.31312	
1.6e+06	7.30744	7.31231	
1.7e+06	7.30402	7.31127	
1.8e+06	7.29849	7.30985	
1.9e+06	7.28887	7.30776	
2e+06	7.31692	7.30859	
2.1e+06	7.30652	7.30842	
2.2e+06	7.26109	7.30478	
2.3e+06	7.29743	7.30425	
2.4e+06	7.31139	7.30473	
2.5e+06	7.27426	7.30282	
2.6e+06	7.24858	7.29963	
2.7e+06	7.29138	7.29917	
2.8e+06	7.27531	7.29792	
2.9e+06	7.27913	7.29698	
3e+06	7.29756	7.29701	
3.1e+06	7.30204	7.29724	
3.2e+06	7.31231	7.29789	
3.3e+06	7.29954	7.29796	
3.4e+06	7.326	7.29908	
3.5e+06	7.31323	7.29963	
3.6e+06	7.26136	7.29821	
3.7e+06	7.31639	7.29886	
3.8e+06	7.31178	7.2993	
3.9e+06	7.31784	7.29992	
4e+06	7.28703	7.29951	
4.1e+06	7.26965	7.29857	
4.2e+06	7.29506	7.29847	
4.3e+06	7.28756	7.29815	
4.4e+06	7.31389	7.29859	
4.5e+06	7.32008	7.29919	
4.6e+06	7.30573	7.29937	
4.7e+06	7.27781	7.2988	
4.8e+06	7.29493	7.2987	
4.9e+06	7.29045	7.2985	
5e+06	7.2632	7.29763	
5.1e+06	7.2815	7.29725	
5.2e+06	7.31363	7.29763	
5.3e+06	7.25411	7.29664	
5.4e+06	7.33088	7.2974	
5.5e+06	7.25003	7.29637	
5.6e+06	7.29401	7.29632	
5.7e+06	7.28374	7.29606	
5.8e+06	7.27781	7.29569	
5.9e+06	7.31968	7.29617	
6e+06	7.29309	7.29611	
6.1e+06	7.30889	7.29635	
6.2e+06	7.26807	7.29582	
6.3e+06	7.2998	7.29589	
6.4e+06	7.27268	7.29547	
6.5e+06	7.26228	7.29488	
