# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
68900000 215.938 228.389 430.991 875.318 2.12555e+07 240818 0.0331721
69000000 177.877 246.212 417.57 841.659 1.82877e+07 220882 0.0336071
69100000 190.053 246.191 371.94 808.184 1.74028e+07 209046 0.0336858
69200000 198.337 254.668 395.732 848.738 1.99885e+07 229779 0.0338144
69300000 192.468 251.595 372.967 817.03 1.80605e+07 214045 0.0338676
69400000 214.316 261.561 372.582 848.459 2.08857e+07 233360 0.0337827
69500000 206.867 249.678 368.295 824.84 1.90225e+07 219794 0.033746
69600000 221.944 269.399 343.468 834.811 2.05365e+07 228552 0.0335241
69700000 249.863 277.681 376.013 903.556 2.60886e+07 267745 0.0332711
69800000 251.015 270.913 371.467 893.395 2.52609e+07 261882 0.0330241
69900000 235.264 248.72 371.006 854.99 2.17094e+07 238076 0.0328964
70000000 244.452 254.383 346.906 845.741 2.15721e+07 235233 0.0326572
70100000 227.107 283.167 344.225 854.499 2.21368e+07 239958 0.0324278
70200000 214.254 266.527 352.624 833.406 2.01365e+07 226640 0.032296
70300000 209.349 259.173 368.888 837.41 2.0015e+07 227090 0.032252
70400000 204.32 271.991 411.54 887.851 2.28706e+07 251594 0.0323838
70500000 202.851 266.875 421.628 891.353 2.28251e+07 252185 0.0325808
70600000 200.635 251.092 415.859 867.586 2.09501e+07 238233 0.0327956
70700000 189.821 255.689 427.718 873.227 2.07593e+07 239087 0.0331142
70800000 202.151 267.054 402.536 871.741 2.1731e+07 242857 0.0332106
70900000 182.84 261.72 380.018 824.578 1.81849e+07 216793 0.0333178
71000000 183.016 237.622 378.013 798.651 1.64393e+07 202495 0.0334565
71100000 196.31 254.843 369.892 821.046 1.85051e+07 216907 0.0334692
71200000 182.852 239.155 374.547 796.553 1.63789e+07 201791 0.033587
71300000 184.943 241.753 401.951 828.647 1.79714e+07 216221 0.0338078
71400000 187.06 253.946 424.802 865.808 2.01795e+07 234844 0.0340966
71500000 183.422 281.101 407.865 872.389 2.10297e+07 241023 0.0342708
71600000 185.262 268.175 420.356 873.793 2.08844e+07 240288 0.0345066
71700000 179.324 254.081 407.834 841.238 1.8582e+07 222319 0.0347374
71800000 196.663 273.771 378.055 848.489 2.03548e+07 231691 0.0347354
71900000 191.963 269.328 363.071 824.361 1.87711e+07 219182 0.0347135
72000000 200.246 253.622 386.667 840.535 1.96376e+07 226283 0.0347564
72100000 186.446 273.54 394.749 854.735 2.01324e+07 232580 0.0348578
72200000 180.333 276.218 365.541 822.092 1.82081e+07 216699 0.0348871
72300000 200.7 261.079 345.613 807.392 1.81096e+07 211996 0.0347956
72400000 200.458 267.814 345.124 813.396 1.85281e+07 215297 0.0346988
72500000 199.182 260.294 319.301 778.777 1.65544e+07 198557 0.0345644
72600000 193.066 248.513 322.826 764.405 1.5489e+07 190533 0.0344668
72700000 180.203 248.869 312.643 741.715 1.40211e+07 178993 0.0343917
72800000 202.238 265.557 327.113 794.908 1.75679e+07 206728 0.0342627
72900000 199.05 289.449 351.325 839.824 2.02416e+07 229237 0.034179
73000000 208.641 271.969 366.266 846.877 2.07834e+07 232775 0.0341078
73100000 204.878 284.19 379.782 868.851 2.21126e+07 243964 0.0340736
73200000 212.477 274.938 365.013 852.428 2.13233e+07 236331 0.0339854
73300000 222.056 255.933 361.837 839.826 2.05637e+07 229785 0.0338869
73400000 207.42 252.719 319.944 780.082 1.67711e+07 199637 0.0337528
73500000 193.835 272.416 342.989 809.239 1.81111e+07 212722 0.0336874
73600000 187.844 276.404 341.382 805.63 1.77248e+07 210407 0.0336389
73700000 178.16 308.514 358.362 845.036 1.96973e+07 229370 0.0336621
73800000 174.886 289.016 372.977 836.878 1.8852e+07 223569 0.0337339
73900000 166.044 301.944 371.346 839.334 1.86178e+07 223921 0.0338387
74000000 176.598 320.748 334.091 831.437 1.89241e+07 222803 0.0338327
74100000 181.002 336.714 374.238 891.954 2.28083e+07 254695 0.0338854
74200000 186.006 317.075 362.826 865.908 2.13988e+07 241509 0.0338838
74300000 202.792 300.768 369.93 873.49 2.25633e+07 247275 0.0338308
74400000 201.257 308.524 355.188 864.97 2.20546e+07 243161 0.0337565
74500000 203.907 302.323 364.023 870.254 2.24405e+07 245926 0.0336898
74600000 194.345 287.872 363.481 845.698 2.03355e+07 231223 0.0336616
74700000 197.355 275.34 353.315 826.01 1.9199e+07 221350 0.0336099
74800000 218.14 289.771 324.882 832.793 2.0536e+07 228222 0.0334531
74900000 207.281 322.719 335.422 865.422 2.24376e+07 244667 0.0333443
75000000 198.641 307.815 334.495 840.951 2.04526e+07 230552 0.0332583
75100000 204.812 289.618 335.587 830.018 1.99061e+07 225242 0.0331552
75200000 195.897 264.004 335.342 795.243 1.73431e+07 205942 0.0330879
75300000 203.394 282.392 334.511 820.297 1.92132e+07 219938 0.0329917
75400000 199.546 272.435 373.126 845.108 2.02844e+07 230472 0.0329837
75500000 188.391 293.863 350.097 832.351 1.93818e+07 224197 0.0329565
75600000 171.264 301.094 353.887 826.245 1.82488e+07 218728 0.0329975
75700000 192.088 297.005 380.712 869.805 2.172e+07 243254 0.0330161
75800000 190.265 301.122 367.443 858.83 2.1052e+07 237850 0.0330129
75900000 203.163 295.285 348.299 846.747 2.08948e+07 233600 0.0329379
76000000 211.135 304.057 358.311 873.503 2.30025e+07 248796 0.0328533
76100000 205.878 301.603 345.616 853.097 2.14605e+07 237487 0.0327684
76200000 207.55 297.644 347.089 852.283 2.14418e+07 237123 0.0326823
76300000 210.824 295.82 326.508 833.153 2.03631e+07 227790 0.0325663
76400000 210.17 286.341 334.1 830.611 2.01062e+07 226064 0.0324624
76500000 224.328 298.037 320.384 842.748 2.14202e+07 234215 0.0323137
76600000 242.729 292.378 317.451 852.557 2.2529e+07 240838 0.0321311
76700000 221.358 273.138 332.734 827.23 2.01175e+07 224997 0.032011
76800000 209.254 255.987 302.777 768.017 1.62186e+07 194430 0.0318949
76900000 207.127 294.202 317.991 819.32 1.93775e+07 220355 0.0317901
77000000 205.43 230.294 324.544 760.268 1.53539e+07 188721 0.0317293
77100000 211.239 237.362 348.962 797.562 1.74969e+07 206684 0.031691
77200000 195.412 228.268 341.296 764.976 1.52239e+07 189206 0.031682
77300000 197.67 256.817 342.023 796.509 1.73628e+07 206210 0.0316426
77400000 195.591 239.28 343.526 778.396 1.60773e+07 196190 0.0316259
77500000 216.303 250.429 354.15 820.882 1.91838e+07 219462 0.0315729
77600000 205.378 264.763 353.353 823.494 1.92141e+07 220502 0.03153
77700000 196.91 285.37 336.361 818.641 1.89009e+07 218413 0.0314746
77800000 189.051 265.515 341.139 795.705 1.71238e+07 205266 0.0314517
77900000 193.183 271.018 348.834 813.035 1.82635e+07 214285 0.0314285
78000000 206.343 303.327 341.693 851.363 2.13864e+07 236740 0.0313567
78100000 206.153 282.218 326.997 815.369 1.90248e+07 217876 0.0312724
78200000 200.4 269.442 324.382 794.224 1.75154e+07 206405 0.0312017
78300000 203.289 255.297 312.287 770.873 1.62074e+07 195110 0.0311185
78400000 206.911 261.852 315.226 783.989 1.70789e+07 201946 0.0310298
78500000 204.213 272.526 309.751 786.49 1.72387e+07 203324 0.0309392
78600000 203.808 278.167 297.475 779.45 1.68647e+07 200068 0.0308417
78700000 213.312 286.79 323.889 823.992 1.98142e+07 223154 0.030745
78800000 214.459 291.256 339.081 844.796 2.11798e+07 233941 0.0306603
78900000 192.085 299.806 337.416 829.306 1.94311e+07 223560 0.0306267
79000000 208.014 278.727 318.197 804.938 1.84488e+07 212858 0.0305395
79100000 233.629 270.886 324.158 828.673 2.05149e+07 226829 0.0304175
79200000 212.722 272.192 335.294 820.208 1.94139e+07 220490 0.030342
79300000 199.658 292.484 340.233 832.375 1.98685e+07 225840 0.0302954
79400000 176.409 292.103 337.33 805.842 1.73825e+07 209573 0.0303035
79500000 177.551 296.927 366.501 840.979 1.93218e+07 226616 0.0303517
79600000 193.096 287.728 346.088 826.913 1.92284e+07 221967 0.0303286
79700000 168.342 281.859 358.554 808.755 1.70129e+07 208870 0.0303897
79800000 169.746 304.077 350.535 824.357 1.80931e+07 217707 0.0304358
79900000 170.518 290.633 322.653 783.803 1.599e+07 198349 0.0304405
80000000 186.38 293.408 303.939 783.728 1.66211e+07 200512 0.0303932
80100000 206.94 278.934 322.55 808.424 1.86184e+07 214441 0.0303177
80200000 197.629 275.358 306.785 779.772 1.66949e+07 199524 0.0302478
80300000 205.502 285.18 333.208 823.89 1.95276e+07 222104 0.0301854
