# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
100000 9.58476 17.143 20.6811 47.4088 3398.14 717.071 0.0428842
200000 12.6518 14.7925 18.7822 46.2265 3515.12 702.616 0.0286073
300000 10.7007 16.4392 19.0756 46.2155 3355.6 693.62 0.027673
400000 11.2922 13.698 16.2694 41.2597 2516.57 561.258 0.0242042
500000 10.2993 14.3761 19.3081 43.9834 2858.82 624.497 0.0256049
600000 10.9073 16.0108 19.7394 46.6575 3447.18 705.981 0.0258673
700000 10.6046 12.161 18.8753 41.6409 2434.2 558.67 0.0267986
800000 10.6154 13.8112 20.5568 44.9834 3013.86 648.745 0.0282308
900000 10.6506 12.144 19.6805 42.4751 2545.5 577.951 0.0293122
1000000 11.61 12.5505 21.7566 45.9171 3170.19 671.362 0.0309366
1100000 9.34726 12.7702 24.8328 46.9503 2964.2 668.605 0.0368045
1200000 9.64976 15.2729 20.1878 45.1105 2975.28 650.514 0.0371559
1300000 9.63414 14.8768 19.9863 44.4972 2864.54 633.208 0.0374156
1400000 11.7469 13.9912 16.5436 42.2818 2719.01 590.156 0.0356445
1500000 10.1021 12.4159 21.4986 44.0166 2696.49 609.531 0.0369736
1600000 8.91929 17.3838 24.1997 50.5028 3752.19 791.577 0.0394812
1700000 7.18502 16.4331 29.3709 52.989 3467.87 811.756 0.0468935
1800000 9.44532 13.4838 22.7283 45.6575 2894.66 648.5 0.0479994
1900000 10.8552 14.3586 21.6536 46.8674 3375.05 701.835 0.047636
2000000 12.1233 13.4931 18.3726 43.989 3005.4 634.219 0.0461957
2100000 9.8989 15.4082 18.2233 43.5304 2779.49 613.703 0.0454184
2200000 9.59952 12.6992 24.1267 46.4254 2941.19 659.901 0.0471239
2300000 13.534 15.4023 17.0914 46.0276 3562.77 703.014 0.0452297
2400000 11.1174 18.9102 20.1271 50.1547 4231.37 814.601 0.0443915
2500000 11.1437 11.9915 22.3676 45.5028 2988.97 651.108 0.0448748
2600000 8.25224 14.8328 23.6608 46.7459 2896.17 668.614 0.0463671
2700000 11.4739 13.4495 21.1649 46.0884 3266.15 681.823 0.0460169
2800000 9.14758 18.2601 19.0564 46.4641 3183.1 689.328 0.0458736
2900000 11.7799 15.6106 20.173 47.5635 3709.65 736.441 0.0450407
3000000 9.80434 14.0246 21.9777 45.8066 3021.97 661.207 0.0453595
3100000 11.0879 14.623 20.0681 45.779 3253.81 678.107 0.0448432
3200000 9.94653 13.9261 18.5638 42.4365 2571.4 581.684 0.0444708
3300000 12.0506 15.7114 16.5584 44.3204 3135.04 649.027 0.0434539
3400000 9.86921 17.3211 20.3511 47.5414 3478.93 724.299 0.0433005
3500000 9.90815 14.6025 19.2352 43.7459 2783.02 616.151 0.0430596
3600000 9.67632 15.7624 18.4839 43.9227 2819.21 622.73 0.0427658
3700000 13.8587 15.1053 18.0692 47.0331 3782.59 732.695 0.0417232
3800000 9.34136 17.6604 19.6889 46.6906 3248.11 696.606 0.0417137
3900000 11.4425 16.3292 18.8526 46.6243 3522.56 710.416 0.0411245
4000000 11.3514 14.3343 19.8667 45.5525 3232.62 673.007 0.0407741
4100000 11.6473 14.6194 19.7941 46.0608 3370.46 690.201 0.0403604
4200000 10.5312 14.6027 21.4739 46.6077 3302.33 693.505 0.0404069
4300000 11.897 15.9426 20.0112 47.8508 3795.52 746.774 0.0399291
4400000 9.9426 13.0724 22.6148 45.6298 2939.34 650.454 0.0404442
4500000 11.4205 14.6751 16.6171 42.7127 2784.98 601.231 0.0398805
4600000 13.0624 14.8998 18.0212 45.9834 3507.42 698.54 0.0392007
4700000 10.898 15.1354 19.1875 45.221 3164.91 664.464 0.0389098
4800000 10.6664 12.2091 22.0195 44.895 2867.55 633.935 0.0392618
4900000 9.84152 13.7801 24.2071 47.8287 3282.89 707.428 0.0399971
5000000 9.81443 12.4673 21.7404 44.0221 2660.14 606.773 0.0403806
5100000 10.4201 15.5702 20.076 46.0663 3257.19 684.024 0.0402339
5200000 9.80915 13.2279 22.4657 45.5028 2915.03 647.299 0.0406503
5300000 9.81245 16.142 21.3052 47.2597 3374.59 711.358 0.0407278
5400000 8.92111 14.6814 25.5798 49.1823 3350.3 734.722 0.0417522
5500000 11.4989 13.9148 19.0117 44.4254 3041.97 643.163 0.0414206
5600000 10.792 12.6662 18.3705 41.8287 2511.13 567.633 0.0412011
5700000 9.75013 14.605 19.8216 44.1768 2822.62 625.16 0.041165
5800000 11.1276 14.8255 17.7154 43.6685 2922.55 624.742 0.0407867
5900000 9.89016 15.7777 21.7907 47.4586 3400.31 715.365 0.0409031
6000000 11.2658 14.7905 18.8609 44.9171 3142.72 658.07 0.0405904
6100000 12.8136 14.3058 18.0022 45.1215 3299.95 671.516 0.0401095
6200000 11.8728 15.1748 16.6541 43.7017 3000.52 630.62 0.0396559
6300000 12.2631 13.437 17.3496 43.0497 2858.86 610.666 0.0392576
6400000 8.55618 15.7891 21.3729 45.7182 2887.37 655.425 0.0395716
6500000 9.16176 12.7847 22.7055 44.6519 2659.5 615.435 0.040079
6600000 11.0629 15.6934 19.1001 45.8564 3316.05 684.661 0.0398208
6700000 11.0273 15.9143 16.3126 43.2541 2862.71 614.978 0.0394721
6800000 11.0726 15.3281 21.2237 47.6243 3602.1 730.04 0.0393903
6900000 11.5954 14.6273 16.3353 42.558 2770.62 597.965 0.0390129
7000000 10.5895 16.5527 18.8578 46 3305.49 687.127 0.0388208
7100000 11.0511 14.4341 18.5536 44.0387 2959.51 632.351 0.0385971
7200000 11.0249 15.4636 18.0363 44.5249 3074.93 648.241 0.0383374
7300000 9.01515 17.4691 22.3776 48.8619 3524.18 750.141 0.0386376
7400000 10.3025 14.8403 20.5036 45.6464 3134.84 668.41 0.0386236
7500000 11.7867 13.4653 20.4331 45.6851 3242.97 674.688 0.038511
7600000 8.97563 17.6408 21.5715 48.1878 3415.56 732.491 0.0387334
7700000 9.69257 15.3822 21.207 46.2818 3161.81 680.853 0.0388362
7800000 9.69437 15.7283 16.7984 42.221 2561.34 579.534 0.0386806
7900000 11.7964 12.9254 22.4274 47.1492 3419.58 706.918 0.0387798
8000000 8.7412 17.9954 20.8822 47.6188 3284.8 715.62 0.0389764
8100000 11.0141 15.1594 22.5337 48.7072 3762.38 756.752 0.0390337
8200000 8.71137 15.81 20.4565 44.9779 2817.41 639.349 0.0391857
8300000 10.3911 12.7737 23.918 47.0829 3174.72 686.791 0.0395874
8400000 9.01634 16.7198 24.1037 49.8398 3633.66 771.086 0.0399996
8500000 9.28945 15.926 19.7569 44.9724 2922.91 646.124 0.0400178
8600000 10.4018 13.8663 22.0524 46.3204 3180.7 679.402 0.0401375
8700000 10.3143 12.663 24.4923 47.4696 3198.94 693.377 0.0405921
8800000 8.29408 16.2298 23.1502 47.674 3116.27 702.342 0.040991
8900000 10.8535 12.0444 22.5109 45.4088 2942.72 646.177 0.0411997
9000000 7.99074 13.934 27.4454 49.3702 3055.86 713.077 0.0422468
9100000 10.3135 15.7386 17.7324 43.7845 2878.33 624.287 0.0420541
9200000 9.00646 11.8737 33.8713 54.7514 3622.18 814.176 0.0442687
9300000 10.0244 14.3916 19.4072 43.8232 2799.82 618.114 0.0441722
9400000 7.72786 15.7945 24.3892 47.9116 2976.9 695.75 0.044712
9500000 9.27131 16.9234 17.9434 44.1381 2815.36 626.925 0.0446134
9600000 8.81861 17.2876 19.8938 46 3032.86 671.804 0.044644
9700000 10.6237 13.8617 18.2716 42.7569 2690.7 594.647 0.0444605
9800000 9.99662 15.2853 20.0385 45.3204 3061.92 659.414 0.0443847
9900000 10.9888 12.9002 22.8955 46.7845 3245.62 688.709 0.0445073
10000000 10.4132 12.0979 27.2182 49.7293 3428.89 738.689 0.0452047
10100000 9.14526 17.4875 20.3617 46.9945 3256.4 702.216 0.0452141
10200000 8.481 16.7362 23.1751 48.3923 3289.46 726.35 0.0454784
10300000 10.3044 14.4646 22.7006 47.4696 3383.51 711.321 0.0455563
10400000 10.0985 11.2377 28.918 50.2541 3281.72 730.483 0.046552
10500000 12.1796 13.1864 18.3522 43.7182 2947.46 626.128 0.0462992
10600000 11.9231 14.3208 19.3307 45.5746 3300.68 678.061 0.0460612
10700000 12.605 14.6632 17.9472 45.2155 3317.19 674.22 0.0457408
10800000 9.91419 14.8345 25.0413 49.7901 3682.89 766.813 0.0460263
10900000 9.19481 14.5665 21.5481 45.3094 2886.07 645.947 0.0461157
11000000 9.9798 13.4196 21.4956 44.895 2878.8 636.91 0.0461668
11100000 11.1308 14.4227 18.5515 44.105 2978.18 634.591 0.0459607
11200000 9.93071 12.6294 20.0808 42.6409 2518.51 578.443 0.0459579
11300000 8.6717 16.2929 22.7482 47.7127 3214.01 709.184 0.0461437
11400000 12.6972 14.0191 18.9909 45.7072 3380.44 685.369 0.0458804
11500000 11.2334 15.7493 18.4207 45.4033 3258.94 673.956 0.0456539
11600000 10.4459 14.3988 19.6083 44.453 2949.26 637.572 0.0455441
11700000 9.53723 16.6733 22.3089 48.5193 3547.48 743.742 0.0456076
11800000 10.7823 12.8885 17.9646 41.6354 2496.49 564.203 0.0454541
11900000 11.0746 14.9008 19.1737 45.1492 3164.07 663.067 0.0452811
12000000 9.34444 16.523 20.9557 46.8232 3235.53 696.47 0.0452958
12100000 11.5391 13.8295 19.0016 44.3702 3032.27 641.623 0.045118
12200000 10.8287 14.62 20.8275 46.2762 3297.33 688.35 0.0450395
12300000 9.42588 14.3193 20.6195 44.3646 2783.05 624.585 0.045062
12400000 10.8085 14.0668 20.169 45.0442 3066.49 653.748 0.0449712
12500000 10.067 14.9761 17.2221 42.2652 2596.48 582.059 0.0448184
12600000 11.7269 13.5582 23.052 48.337 3665.14 741.865 0.0448416
12700000 11.5769 14.3336 16.1282 42.0387 2676.29 583.828 0.0446039
12800000 12.3421 14.8562 18.8348 46.0331 3453.5 695.633 0.0443721
12900000 8.77052 13.7814 26.0614 48.6133 3150.03 708.603 0.0448605
13000000 12.483 13.8034 20.0893 46.3757 3461.54 700.383 0.044689
13100000 9.56848 16.1388 19.7292 45.4365 3046.65 661.607 0.0446433
13200000 9.54762 12.9021 22.6331 45.0829 2788.05 631.293 0.0448156
13300000 12.1678 14.3367 16.048 42.5525 2799.51 599.79 0.0445659
13400000 10.2873 14.0757 18.6812 43.0442 2705.05 599.931 0.0444608
13500000 12.1957 13.7829 18.4137 44.3923 3095.19 646.453 0.0442621
13600000 10.6347 14.7724 23.0294 48.4365 3617.91 742.209 0.0443168
13700000 9.37561 19.1421 20.416 48.9337 3664.04 761.686 0.0443283
13800000 9.85429 14.4035 25.7091 49.9669 3649.05 765.581 0.0446355
13900000 12.6532 13.8712 20.5806 47.105 3612.2 721.402 0.044484
14000000 10.2622 17.6504 20.1095 48.0221 3642.47 742.44 0.0444034
14100000 11.7528 13.8159 18.4645 44.0331 2998.17 634.487 0.0442329
14200000 10.992 12.5668 23.0434 46.6022 3183.09 681.01 0.0443421
14300000 11.7332 13.5865 21.0615 46.3812 3357.48 692.684 0.0442684
14400000 9.33078 15.4602 23.1151 47.9061 3334.48 717.301 0.044405
14500000 8.26775 13.4321 24.3996 46.0994 2709.65 640.52 0.0447622
14600000 11.5107 16.1304 17.5191 45.1602 3252.82 669.92 0.0445621
14700000 10.124 15.238 21.5827 46.9448 3329.57 701.652 0.0445642
14800000 10.6751 14.9044 23.9564 49.5359 3811.6 771.899 0.0446562
14900000 11.7444 12.6129 25.7366 50.0939 3812.4 775.006 0.0448858
15000000 12.0403 15.0854 19.5539 46.6796 3551.62 712.045 0.0447125
15100000 12.2682 14.3253 20.4231 47.0166 3589.27 718.867 0.044572
15200000 9.90897 16.3695 23.705 49.9834 3845.06 785.135 0.0446701
15300000 10.0472 12.6958 23.9918 46.7348 3060.33 673.203 0.0448768
15400000 10.5961 12.8441 19.1675 42.6077 2608.66 585.389 0.0448086
15500000 9.77974 13.5613 21.5263 44.8674 2854.96 635.074 0.0448625
15600000 12.5779 13.9603 17.3181 43.8564 3040.92 635.184 0.0446549
15700000 10.7863 13.4159 19.9801 44.1823 2891.28 628.271 0.0445949
15800000 12.4244 13.2619 17.8993 43.5856 2949.3 624.539 0.0444192
15900000 9.94686 15.4812 19.6935 45.1215 3032.59 654.756 0.0443633
16000000 10.7727 14.8747 19.9272 45.5746 3193.14 671.321 0.0442773
16100000 10.7696 12.688 23.2054 46.663 3170.88 680.987 0.0443893
16200000 11.2021 19.3082 21.5615 52.0718 4663.59 874.141 0.0442979
16300000 13.1046 14.198 16.7306 44.0331 3112.87 642.847 0.0440788
16400000 12.1532 14.4584 15.9299 42.5414 2799.12 599.634 0.0438799
16500000 10.3958 13.1341 18.4094 41.9392 2513.6 569.709 0.0438012
16600000 10.8693 14.2487 20.4787 45.5967 3171.61 669.257 0.0437447
16700000 9.16555 12.6417 26.5187 48.326 3072.67 694.168 0.0441722
16800000 12.1511 14.2652 18.3572 44.7735 3181.99 658.267 0.0440067
16900000 12.3194 14.918 19.4587 46.6961 3576.14 713.786 0.0438475
17000000 10.8391 12.9465 20.8774 44.663 2929.69 636.91 0.043838
17100000 11.7694 13.1171 23.8317 48.7182 3679.16 747.469 0.0439128
17200000 11.4229 13.6879 20.2041 45.3149 3159.03 663.697 0.0438362
17300000 10.4866 13.5496 17.0577 41.0939 2423.72 552.092 0.0437222
17400000 12.7842 15.0404 16.5179 44.3425 3176.06 651.885 0.0435168
17500000 10.5495 14.0463 21.0009 45.5967 3111.94 664.715 0.0435017
17600000 11.7654 14.7424 17.3707 43.8785 3012.94 633.908 0.0433395
17700000 8.98037 11.6905 27.8485 48.5193 2923.67 680.637 0.0439027
17800000 11.0472 14.8299 21.0677 46.9448 3451.49 708.998 0.0438496
17900000 9.78569 10.0654 27.8395 47.6906 2742.1 651.141 0.0444353
18000000 9.21277 13.7183 28.102 51.0331 3551.65 770.795 0.0448988
18100000 8.10182 17.2373 21.6332 46.9724 3021.16 687.821 0.0450135
18200000 9.95918 12.2032 27.6222 49.7845 3357.02 733.706 0.0454442
18300000 10.0516 14.6857 19.1356 43.8729 2824.7 620.979 0.0453781
18400000 10.5489 12.6578 22.1856 45.3923 2962.35 648.38 0.0454342
