# 
# registered features: 
# 
# FeatureMoleculesIO
# 	Number of monomers: 1257
# 	max connectivity: 4
# FeatureBox
# FeatureBondset<FastBondset>
# 
# not registered features: 
# 
# #!version
# !attributes
# endoffile
# 
# radius of gyration
# mcs	R_G molecule 	R_G backbone	R_G sidechains

0	291.553	51.6836	58.8176	
100000	670.799	210.804	94.2005	
200000	772.055	353.205	76.1892	
300000	883.322	511.623	86.8752	
400000	830.619	412.102	81.2136	
500000	928.795	434.652	88.71	
600000	925.355	458.795	78.1266	
700000	1008.11	524.024	81.5553	
800000	1034.21	591.581	87.607	
900000	1025.76	636.224	75.5676	
1e+06	971.599	608.895	71.7778	
1.1e+06	1088.68	660.312	75.6373	
1.2e+06	970.187	563.837	80.5897	
1.3e+06	894.337	466.843	76.4832	
1.4e+06	957.995	539.137	79.8228	
1.5e+06	878.791	479.526	77.3448	
1.6e+06	946.706	505.219	96.5312	
1.7e+06	884.339	512.232	83.313	
1.8e+06	952.853	542.96	80.1464	
1.9e+06	1149.6	639.924	79.6171	
2e+06	1000.55	542.975	81.9075	
2.1e+06	1117.39	698.994	88.7305	
2.2e+06	1061.99	586.977	79.7654	
2.3e+06	1068.86	674.087	84.637	
2.4e+06	955.141	493.809	77.2909	
2.5e+06	852.928	425.341	78.6564	
2.6e+06	912.082	430.457	75.9689	
2.7e+06	898.013	438.298	89.4382	
2.8e+06	855.57	491.262	81.6793	
2.9e+06	820.041	451.673	86.927	
3e+06	880.806	486.015	84.4782	
3.1e+06	1069.65	512.477	84.7265	
3.2e+06	937.874	557.985	76.2898	
3.3e+06	913.597	440.35	80.8855	
3.4e+06	985.389	556.188	86.8474	
3.5e+06	1017.05	566.792	86.4104	
3.6e+06	1191.36	708.228	83.7511	
3.7e+06	1089.53	636.11	87.6517	
3.8e+06	1262.34	699.325	83.5114	
3.9e+06	1306.56	846.46	92.1088	
4e+06	1329.53	877.696	87.4226	
4.1e+06	1136.79	727.777	74.6191	
4.2e+06	1339.92	780.745	82.5363	
4.3e+06	1088.74	739.49	78.4829	
4.4e+06	1190.74	777.767	78.3662	
4.5e+06	1294.83	884.513	86.4733	
4.6e+06	1397.68	933.603	87.1985	
4.7e+06	1320.27	828.187	84.623	
4.8e+06	1364.95	811.698	87.7897	
4.9e+06	1192.11	628.296	86.5861	
5e+06	1116.22	700.651	83.6122	
5.1e+06	1391.04	905.8	84.2935	
5.2e+06	1138.16	696.883	71.8679	
5.3e+06	1126.57	699.872	83.7597	
5.4e+06	1093.43	653.449	80.8806	
5.5e+06	1173.06	711.672	80.4874	
5.6e+06	1260.44	809.014	85.8246	
5.7e+06	1133.7	670.674	84.4463	
5.8e+06	1217.43	751.294	80.3979	
5.9e+06	1150.68	738.071	78.0331	
6e+06	1310.93	766.992	81.6811	
6.1e+06	1216.07	832.635	80.3695	
6.2e+06	1329.45	920.257	91.9816	
6.3e+06	1362.42	894.389	84.2662	
6.4e+06	1346.37	855.177	82.6495	
6.5e+06	1505.91	1035.92	80.9058	
6.6e+06	1547.48	1161.5	84.3992	
6.7e+06	1208.79	789.08	77.18	
6.8e+06	1024.85	605.276	82.3053	
6.9e+06	1161.03	738.489	84.2316	
7e+06	1242.79	679.366	82.8791	
7.1e+06	1212.27	811.398	79.0197	
7.2e+06	1262.46	840.358	73.9571	
7.3e+06	1118.01	620.38	81.9404	
7.4e+06	1033.27	760.104	84.2915	
7.5e+06	1035.62	544.187	93.1883	
7.6e+06	958.981	531.97	83.934	
7.7e+06	959.271	529.135	87.4174	
7.8e+06	1000.34	580.927	79.2785	
7.9e+06	1140.54	747.616	75.2141	
8e+06	1104.75	690.789	74.7638	
8.1e+06	1053.33	606.963	82.8397	
8.2e+06	1086.6	699.36	83.6707	
8.3e+06	967.817	552.808	75.554	
8.4e+06	984.845	523.66	84.6394	
8.5e+06	963.331	474.248	77.3128	
8.6e+06	1106.7	660.894	83.0714	
8.7e+06	1048.5	662.445	85.9231	
8.8e+06	1038.68	681.039	83.1777	
8.9e+06	1120.58	675.179	77.4582	
9e+06	1091.75	705.92	85.848	
9.1e+06	1192.38	726.761	83.1436	
9.2e+06	1314.49	833.837	81.3369	
9.3e+06	1141.35	653.654	82.2813	
9.4e+06	1000.69	631.839	76.9643	
9.5e+06	1124.64	706.096	85.6553	
9.6e+06	1239.99	857.067	88.906	
9.7e+06	1337.92	909.443	84.9913	
9.8e+06	1183.73	700.208	84.1597	
9.9e+06	1227.42	834.324	75.3179	
1e+07	1292.95	865.535	83.7543	
1.01e+07	1229.27	728.656	82.5725	
1.02e+07	1186.82	773.675	80.1587	
1.03e+07	1354.51	908.463	84.0427	
1.04e+07	1390.6	1002.89	82.2985	
1.05e+07	1255.76	1000.3	78.0328	
1.06e+07	1169.41	798.671	75.5272	
1.07e+07	1162.97	722.262	80.1934	
