# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
68700000 261.63 384.777 438.869 1085.28 4.41805e+07 384357 0.0152438
68800000 274.876 370.045 455.302 1100.22 4.63117e+07 395350 0.0153138
68900000 252.197 382.276 455.347 1089.82 4.38996e+07 385315 0.0154703
69000000 267.614 380.701 482.831 1131.15 4.91913e+07 414908 0.0156404
69100000 277.739 353.97 431.034 1062.74 4.23756e+07 370600 0.01564
69200000 268.132 369.161 419.249 1056.54 4.14989e+07 366169 0.0156435
69300000 288.644 349.14 387.654 1025.44 3.90666e+07 348016 0.0155452
69400000 269.605 384.765 406.657 1061.03 4.21843e+07 369838 0.0155318
69500000 293.575 358.996 401.646 1054.22 4.23304e+07 367495 0.0154423
69600000 235.661 374.368 411.921 1021.95 3.63412e+07 339507 0.0155452
69700000 259.699 401.562 412.38 1073.64 4.30052e+07 376976 0.0155855
69800000 257.267 393.969 422.396 1073.63 4.28119e+07 376434 0.0156414
69900000 239.071 372.707 443.73 1055.51 3.95379e+07 360568 0.0157941
70000000 232.274 379.652 453.198 1065.12 3.99645e+07 365507 0.0159963
70100000 202.321 419.958 449.001 1071.28 3.815e+07 364370 0.0163569
70200000 217.33 412.428 439.868 1069.63 3.94266e+07 366643 0.0166078
70300000 224.985 372.814 461.288 1059.09 3.86918e+07 359635 0.0168431
70400000 262.143 389.439 423.489 1075.07 4.32334e+07 378026 0.0168646
70500000 299.756 349.076 398.773 1047.61 4.17267e+07 363374 0.0167582
70600000 293.372 390.291 422.423 1106.09 4.83677e+07 403296 0.0166925
70700000 277.193 365.013 419.597 1061.8 4.24545e+07 370647 0.0166614
70800000 288.625 363.637 369.38 1021.64 3.87682e+07 345887 0.016557
70900000 294.404 346.886 392.23 1033.52 4.00563e+07 353658 0.016461
71000000 257.485 357.814 416.73 1032.03 3.83941e+07 348545 0.0164783
