# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
61400000 262.75 278.12 336.276 877.146 2.45737e+07 254958 0.00586478
61500000 209.035 267.209 305.791 782.035 1.70803e+07 201487 0.0084213
61600000 201.547 254.025 300.284 755.856 1.5374e+07 187999 0.00970702
61700000 195.018 262.544 338.656 796.218 1.73395e+07 206157 0.0133178
61800000 188.262 240.173 308.646 737.081 1.39556e+07 177450 0.0145009
61900000 168.85 247.251 338.638 754.74 1.41376e+07 182656 0.0181241
62000000 148.497 253.071 389.651 791.219 1.46432e+07 194052 0.0256443
62100000 145.446 252.327 374.782 772.555 1.37545e+07 185778 0.0305612
62200000 134.843 249.415 410.813 795.072 1.38164e+07 191490 0.0374657
62300000 156.535 227.158 387.191 770.883 1.37678e+07 184120 0.0406594
62400000 128.299 227.04 390.304 745.643 1.13692e+07 167819 0.0451221
62500000 146.588 232.387 423.379 802.354 1.44225e+07 194515 0.049365
62600000 139.531 254.359 422.853 816.743 1.50074e+07 202048 0.0528576
62700000 128.345 259.338 408.027 795.71 1.35811e+07 191470 0.0557804
62800000 139.052 276.164 390.03 805.245 1.49776e+07 200347 0.056986
62900000 123.174 271.984 384.199 779.356 1.28711e+07 185320 0.0586845
63000000 126.677 266.405 414.526 807.608 1.39892e+07 196690 0.060947
63100000 132.714 265.878 405.641 804.233 1.43133e+07 196971 0.062416
63200000 132.394 258 435.421 825.815 1.48729e+07 204143 0.0646856
63300000 139.632 246.857 429.263 815.752 1.47964e+07 200375 0.0663813
63400000 136.778 282.921 406.441 826.14 1.57282e+07 209280 0.0670887
63500000 143.007 291.542 375.309 809.858 1.56476e+07 204783 0.0669102
63600000 142.171 302.446 329.442 774.059 1.41657e+07 189474 0.0662651
63700000 154.533 301.234 341.833 797.599 1.59125e+07 202346 0.0654036
63800000 133.808 320.967 343.537 798.312 1.47542e+07 199180 0.0652817
63900000 128.336 322.262 362.315 812.913 1.49846e+07 204617 0.0655155
64000000 120.017 324.843 347.855 792.715 1.35617e+07 193733 0.065869
