# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
61400000 161.095 234.439 320.455 715.989 1.21026e+07 164518 0.0372327
61500000 154.253 203.336 285.332 642.921 8.9495e+06 133397 0.0348212
61600000 149.985 186.874 253.566 590.425 7.10702e+06 113444 0.0317849
61700000 150.082 169.967 244.597 564.646 6.23942e+06 103792 0.0301
61800000 143.793 172.397 267.782 583.972 6.63819e+06 109460 0.0313303
61900000 150.715 171.907 264.748 587.37 6.85935e+06 111323 0.0314299
62000000 136.025 193.586 267.368 596.979 7.04047e+06 114460 0.0321139
62100000 139.064 193.761 266.203 599.027 7.17285e+06 115544 0.0323405
62200000 129.542 186.841 277.926 594.309 6.72684e+06 112135 0.0339463
62300000 119.292 177.409 264.62 561.321 5.60028e+06 99676.5 0.0354085
62400000 117.153 188.939 252.011 558.103 5.57822e+06 99273.4 0.0360702
62500000 109.736 186.864 239.578 536.178 4.91273e+06 91564.7 0.0366388
62600000 103.688 182.979 235.78 522.448 4.47341e+06 86563.3 0.0373579
62700000 111.631 202.931 226.534 541.096 5.13177e+06 93912.4 0.0373807
62800000 134.636 193.516 223.457 551.609 5.82199e+06 99382 0.0363581
62900000 124.421 197.641 217.153 539.215 5.33994e+06 94527.4 0.035731
63000000 128.919 202.633 214.057 545.608 5.59184e+06 97094 0.0349915
63100000 132.29 208.741 217.166 558.197 5.99691e+06 101675 0.0342715
63200000 130.678 192.187 213.413 536.278 5.35978e+06 94018.1 0.0335884
63300000 136.205 199.123 219.211 554.539 5.94536e+06 100629 0.0328788
63400000 132.899 195.734 233.495 562.129 6.0739e+06 102747 0.0324982
63500000 137.7 182.665 218.441 538.806 5.49444e+06 95133.8 0.0318727
63600000 123.689 180.882 213.676 518.247 4.78061e+06 87452.7 0.031561
63700000 131.042 172.11 212.292 515.445 4.78799e+06 86910.7 0.0311189
63800000 131.682 187.763 214.508 533.953 5.30372e+06 93248.6 0.0306828
63900000 128.631 205.429 207.527 541.587 5.48382e+06 95751.1 0.030331
